Remarks,Sentiment
"Oct 31, 2025: Shared the approach note along with block-of-hours pricing details with Darryl and Shashank. Dec 22, 2025: Received a response from Shashank expressing interest in revisiting the discussion on our SyteLine services. Dec 23, 2025: Scheduled a follow-up call at 4:00 PM IST.",positive
"Dec 22, 2025: Received an email from Ken Kwok (IT Support & System Administrator, Melville Candy Company) confirming they have been using SyteLine CSI 10 (on-premises) for the past 3 years. Joe Melville (Owner & Director) forwarded our consulting services information to Ken, which he reviewed. Ken expressed interest in discussing our SyteLine services and requested to include Max Smith (CFO). Dec 30, 2025: Meeting invite sent to Ken Kwok and Max Smith; both accepted.",positive
On Dec-30/2025 - Meeting held with Ken and Max. Discussed Blue Chip's Syteline services and pricing. Ken and Max shared their requirements with Siva Kumar. Ken confirmed he will share the NDA for review and signature.,positive
On 5-Jan-2026 - Ken sent an email that he confirmed receipt of the pricing presentation. He will send the updated scope and NDA this week and would like to schedule another meeting with our technical consultant to review the scope.,positive
13-Jan-2026: Brian indicated that he is thinking about engaging us for a few potential projects and will reach out to share requirements once they are confirmed.,positive
"On Jan 21 / 2026 - Ken shared the NDA, which has now been signed by both parties. Our internal team is currently reviewing the project scope and preparing an initial approach from Blue Chip's side. Once the approach is ready, Ken would like to schedule a meeting to review it together. In the meantime, he will coordinate with their IT consultant to prepare server access for the Blue Chip team.",positive
"On Feb - 25/2026 - Met with RefPlus IT Director Vincent to review their planned migration from on-prem SyteLine v9 to CSI multi-tenant cloud. Discussed current environment, completed gap analysis (to be translated), and extensive custom Nomis/Enomis tooling with multiple DB-level integrations requiring assessment. Agreed on a phased approach targeting Feb 1 go-live (phase 1 parity; phase 2 quality & engineering modules). Key needs include training for 3 developers and conversion of SSRS/Crystal reports to cloud reporting. Next step: assess integrations and finalize timeline. Follow-up meeting scheduled for March 3, Tuesday at 9:00 AM EST (calendar invite sent).",positive
"On 13/Mar/2026 - Spoke with Sara Simon, who mentioned that they currently have some immediate requirements. She has requested to schedule a call with us along with their new VP of IT to discuss these requirements and explore how we can support them.",positive
"Discussed Blue Chip's SyteLine/IDM capabilities, pricing, and use cases. Customer confirmed requirement for a limited IDM scope to enable connectivity and improve attachment visibility in approval workflows without changing existing processes. Demo validated the current gap. Next Steps: Our team to provide a signed NDA, followed by a technical review, estimate, and scope confirmation. Planning to schedule a developer walkthrough call next week.",positive
Client is planning a SyteLine implementation for their Vietnam (Ho Chi Minh City) plant as part of next fiscal year strategy. They are evaluating support options in the APAC region and asked about onsite support capability. Requested a call with our technical team to understand requirements and discuss engagement.,positive
"Had an initial discussion with the client regarding SyteLine implementation for their Vietnam plant, operating as a single unit across two adjacent locations (medical devices and extrusion). The client targets a June 1 go-live and plans to replicate the Milwaukee SyteLine model within the same cloud tenant. Data migration from the current Microsoft-based ERP is expected to be straightforward due to simple BOMs. A 5-day onsite engagement is planned prior to implementation, along with pre-go-live onsite training. The client is aligned with a hybrid (onsite + offshore) approach and will cover travel and accommodation. Vietnam tax localization will require local consultants, which the client is comfortable with. We will share pricing, resource details, and propose Sharad as the onsite consultant. Overall, positive discussion with strong potential for long-term engagement.",positive
"On 23 - March - 2026 - Had a discussion with Jeff regarding their current CSI 10 cloud environment and upcoming roadmap. Confirmed that we fully support their requirements, including Canada site implementation (multi-site expansion), system review for process improvements, and potential upgrade initiatives. They requested us to reshare our presentation for internal discussion with their team. Awaiting their feedback and next steps.",positive
"On 24 / Mar / 2026 - Had a detailed discussion with Sara and her team, where they demonstrated their current workflow and system customizations. This helped us understand the requirements for further analysis and estimation. We requested access to their Dev/Training environment with 3 user IDs (Programmer, QA, Consultant) to review the setup and provide an accurate quote. Sara mentioned this requires internal approval from Isaac and will update us once confirmed. As a temporary option, supervised access via Teams was suggested, though dedicated IDs are preferred for larger scope work. NDA and all required documents have been submitted. Next Step: Awaiting access approval to proceed with detailed analysis and estimation.",positive
"Sara requested clarification on access requirements (type, VPN, level, duration) and asked if we can provide a quote without system access. Also open to alternative approaches and a follow-up call.",positive
"Jonathan L. Moreno (Diversatek) ( jlmoreno@diversatek. Com) - regarding the Vietnam visit schedule. Jonathan confirmed that Jason is currently on vacation, but he verified internally that the week of June 15th works for their Vietnam team. He has also booked his air ticket Rajib confirmed receipt and informed Jonathan that the proposal is being prepared. Once finalized and signed by both parties, travel booking details will be shared accordingly.",positive
Sara mentioned that it would be preferable to receive the estimate without issuing system access at this stage. She requested that the estimation be provided based on the available information. Our team will share the estimate early next week.,positive
"I spoke with Aditya Kumar (Deputy Finance Manager), scheduled the product demo for Microsoft Dynamics Business Central 365 for 6th Aug at 12:00pm. They are facing challenges (Generating reports) in the current ERP. There revenue is 70cr approximately.",positive
"Product demo done with Deputy Finance Manager (Aditya), he said they are using PM Track ERP from 2023, they are facing challenges in generating the report, they are maintaining reports in excel. So they need that in the ERP, they have 2 plants, he said they have built a infrastructure for the server, so they need On-Prem. Also he asked us can we implement the Power BI (reporting purpose)and Copilot in there ERP.",positive
"We had a detailed product demo with Gnanam (ERP Manager), they have 2 units and based on orders they do manufacture the machines. They are using tally for finance and Tara ERP and it is integrated with Tally. They are planning to implement within 3 months.",positive
"Today we had a product overview and a discovery call with ERP Manager. Client asked the process of implementation, we explained and they have requirement of 10-15 users, currently they are not using any ERP. He asked us for a approximate estimation for 10 users. I want to share the estimation, next week he will bring there team for the detailed product demo. He confirmed that they have a immediate requirement.",positive
"Had a discussion call with the client regarding the challenges they are currently facing with their existing ERP system. They mentioned issues in production, purchase, and operations, and several limitations in their current ERP. They have a requirement for a Timesheet module, as their business operates on a project-based model. The client also mentioned that their work process is not standard and changes depending on the project requirements. The company has two manufacturing units in Pune. They stated that they are open to changing their ERP system if the new solution meets their requirements. The point of contact will discuss this internally with their Director on 16th March 2026. Based on the outcome, we will plan a detailed product demonstration next week.",positive
"Demo done today with Harsha -VP, at 11:00 am.",positive
"9/3/2026 I spoke with Vishnu -CTO, he asked me to schedule one demo session 18th or 20th of this month @2:30 pm.",positive
"9/4/2025 Today we had a Discovery call with Thiyagarajan Muthusamy (ERP Head), and i have to do the follow-up for product demo.",positive
"09/22/2025 I spoken with Thiyagarajan Muthusamy (ERP Head), He ask me to schedule the product demo on september 26th at 3pm.",positive
"10/9/2025 Today we had a secound round of product demo with Thiyagarajan Muthusamy (ERP Head) about Finance, Project and Service modules and he will share the routing details for the custom demo.",positive
"We had a detailed offline product demo with Rajesh (Purchase Head) and he needs our ERP should be integrated with their existing CRM tools (SendGrid, Salesforce, and GreytHR) for seamless data flow. He asked MIS reports, Logistics, Purchase and Warehouse. Also they need PO dashboard. I asked him to share the Item details (SKU), BOM details, production workflow and company workflow for custom demo.",positive
"We had a product demo with Nitin, he is taking care of ERP. They are into construction product manufacturing from 30 years. They have 2 plants (Pune & Goa) and they do sales and services all over India. Currently they are using Local ERP from Data Scan Company. Facing challenges in generating reports and having limitations. They need rejection system in purchase module. He said our ERP is good and he want some time to work on it. We have to take a follow-up on 7th Nov.",positive
11/18/2025 I spoken with Nikhil (ERP Manager) I had an discussion regarding pricing and MSD References with him. He ask me to share the the pricing details through email.,positive
"4/12/2025 Me and Sinu sir visited to on-site and met Nikhil. He confirmed that they are fine with MSD ERP and we reviewed the department-wise user requirements. He mentioned they need 8 licenses for Sales and Lead Generation, for which I suggested using Humanet. I informed him that I need to arrange a meeting to demonstrate the complete Humanet workflow. I also asked their work process details to prepare the GAP sheet and he said he will arrange a meeting with their team by this week to explain their work process.",positive
"12/16/2025 I spoken with Nitin (IT Manager), he asked me about some requirements (Rejection & Return system). He said that they will involve the team (Production, Designing, Services and Procurement). He asked me to call on November 18th second half to confirm the timing.",positive
"I spoken with Mr. Dhruvali (CEO), He said we can have the second round of product demo on February 1st week and I need to take the follow-up.",positive
"Today I have received the requirement documents from Thiyagarajan Muthusamy (ERP Head), and I had an discussion regarding the work process details and he ask for the discussion call to discuss their work process.",positive
"I spoken with Nitin (IT Manager), He said that next week Thursday or Friday we can have the second round of product demo with entire team.",positive
"2/17/2026 Today Me and Sinu sir had an discussion call with Thiyagarajan Muthusamy (ERP Head), to clarify and understand their detailed requirements.",positive
2/19/2026 Today Me and Sinu sir had an discussion call and produsct over view with Srimathi (Assistant director) and she asked as to share the pricing details and also they need detailed product demo to entire team and i need to take the follow-up for the Bom details.,positive
"3/12/2026 Today we got the BOM details from Thiyagarajan Muthusamy (ERP Head), I have shared this to Sinu sir and he is working on it for the custom demo.",positive
"3/17/2026 I spoken with Srimathi (Assistant director), she said that next week they asked for the detailed product demo.",positive
"3/18/2026 Today Me and Sinu sir had and discussion call with Thiyagarajan Muthusamy (ERP Head), regarding to get the clarity for the BOM details and I need to take the follow-up for the custom demo.",positive
3/23/2026 I spoken with Srimathi (Assistant director) She said that we can have an detail product demo by this week with entire team.,positive
"Spoke with Mohd Farooque ERP Manager, scheduled a demo for addons and services for tomorrow at 11am.",positive
"We had a Addons Demo with ERP Manager Mohd Farooque, in discussion call he said some major problems facing in ERP. He said the requirements and changes what they needed, so after a call sinu sir said I will work on it and get a solutions. After 10 days have to take a Follow-up for 2nd Demo.",positive
"Spoke with IT Manager Tanveer khan they are using MSD ERP and taking services from other vendor,, connected with Mr manveer who is taking care of production and got the number of Mr tanweer([Phone Number Removed]) spoke with him about our ADD-ON SERVICE and fixed up the demo on Monday 11:00., the email id(tanweer. Khan@metalwork-india. Com)demo done need to follow-up next week.",positive
"Demo done, client having need in PR ADD-ON model and vendor portal, we will get the requirement list on Tuesday, strong case as such.",positive
"DONE WITH THE DEMO, WAITING FOR THE 2ND CONCALL WITH CEO SIR.",positive
"Second demo got fixed on 7th of oct, with CFO OF ENTITY.",positive
"As we discussed with MR Anand who is the sales head, who refer us arvind name who is taking care of ERP part, now their using tally and want to move from tally to MSDY365, we hed 2 rounds of demo also shere the commercial, and waiting for their response.",positive
"AS this entity nature of business paltry farm, we are under talk with the finance consultant MR MOHON ([Phone Number Removed]) and the director of the entity MR RAJA([Phone Number Removed]) We are under last stage of discussion, sent the commercial of 1.4 lakes as per their requirement, 4th of this month we will have our final call.",positive
"We had demo call with the IT manager (mr jitu 912240776363) AS THE CLINT NEEDSOME CUSTAMISATION ON 1. BLANKET ORDER 2. FINANCIAL 3. UNIT CONVERTION 4. PR AND SALE, AE WE INFORMED REPORTING AND BL; ANKET ORDER CAN BE POSIIBLE WE ARE UNDER DISCUSSION.",positive
"Its demo done, interested in VENDOR PORTAL.",positive
"We had a demo season with Auro labs, they need vendor portal and they are very interested in the same.",positive
"We done with demo as they asked us to share the commercial comprehensive service and separately cost for customer portal, and vender portal.",positive
"We share the details and commercial according to their requirement, waiting for their revert.",positive
"Demo done as they have some development area, reporting, validation, we had a great discussion, they supposed to share the requirements list then we will share the commercial.",positive
We had a demo and Estimation has been shared waiting for confirmation from client side.,positive
Connected with Stephane final demo call has been scheduled on 24th February.,positive
"25/02 Stephane as per our last demo discussion where he was about to share the Business requirement details /screenshot of dashboard. He shared it over email, and that particular document has been shared with attainders of demo call. Will do the further steps to move the case forward.",positive
"Meeting has been completed with Martin Meinders (GM). He requested us to share all the details along with the PPT, and mentioned that he will review it and get back to us with the requirements.",positive
19/02 MSD demo happened today where assistant director was preset where she asked for the final pricing for 15 user.,positive
"19/02 not answered 27/02 connected with IT manager(prem patil), he told me to explain about the ERP, i told about MSD as their revenue was 120cr, he was interested and gave me his email id and WhatsApp number for further contact, have to call back next week 05/03 connected with IT manager again he told to schedule the demo tomorrow in the 2nd half 3pm, he mentioned that he will call the concern person and come for the demo. They are using Corporate Munim ERP, and he said they are looking good ERP solution and they are asking for the product demo and I informed that we can have the discussion call after they he involve their director. Employee size - 600 Revenue - 200+crLicences - 80 - 120.",positive
"26/02/26-4:30PM-The discovery call has been completed from 4:30PM To5:30PM The attendees included Alok Sir, Subash (IT Manager), the Mechatronics GM, the Business Head, and the ERP Consultant. We discussed NLP, ML, GenAI/Copilot, and Sales Sentiment solutions. Their key objective is to reduce manpower through automation. They are ready for a demo on Monday.",positive
"02/16/2026 3:00pm Demo Done Spoke with Abhilash they using they are using OURSUS, No premises software ERP - They are planning to change soon Spoke with Abhilash IT manager meeting (demo) on monday 16/02/2026 with Asit and Sinu sir and they ask with their teams and fix up next meeting OR demo on next weekend.",positive
"Today we had a product demonstration meeting was conducted with Goel Steel Company. During the session, we briefly discussed location setup, the purchase requisition process, vendor portal, and customer portal functionalities. It was clarified that the vendor portal is not available by default in Microsoft and requires customization. The client also enquired about any limitations for vendor partial access for new users and asked about the commercial process. Additionally, it was discussed that after Microsoft updates, customized features may need to be republished to ensure proper functionality.",positive
"Today, we had a productive discussion with Ajay, the IT Manager. He explained that they are an energy-based service company that handles both system implementations and Annual Maintenance Contract (AMC) services, with their current projects primarily focused on the government sector. To move forward, Ajay requested our comprehensive and add-on brochures for review. We will send these materials over immediately, and they will get back to us and need to take follow-up.",positive
"I spoke with Subramani System Analyst, he said they are using MSD 365 and explained our add-on and comprehensive services. Although they are currently using another company services Existing Vendor TEXTRA located in Nodia, he was interested in our add-ons and asked about our location and Expeicence. I requested 15-20 minutes for a demo; he suggested the afternoon of March 9th 4:30 PM For Demo session.",positive
"2/16/2026 3:00pm Spoke with Abhilash they using they are using OURSUS, No premises software ERP - They are planning to change soon and their employee size 500 and license size 69 Spoke with Abhilash IT manager meeting (demo) on monday 16/02/2026 with Asit and Sinu sir and they ask with their teams and fix up next meeting OR demo on next weekend.",positive
"06/03 connected with IT manager they are using Corporate Munim as a the revenue was nearly 140Cr in google i gave it to sandeep for further process, then after the client was asking more then 50 license, it was given to infor and BAND was cleared by nelson, client has given 2 dates for the demo, that is monday or tuesday 3pm. H e will bring finance and operation team with him for the demo.",positive
"13/01 received the number of finance and IT manager have to talk with them 14/01 not answered 20/01 call back 5pm 04/02/ had a word with finance asked to send details in email and told to call after 2 days 16/02 today we got proper confirmation from finance manager that they have requirement received the number of assistant director to call for demo 17/02 had a word with srimathi she said ok for demo, timing yet to confirm.",positive
05/01/2026 Call back 06/01/2026 had a word with purchase manager he mentioned they have requirement have to take follow-up for demo 07/01/26 had a word with purchase manager asked to send email and also they have requirement he will confirm in 2 days after talking with higher official 09/01/26 not answering 13/01/26 had a word with purchase manager fixed demo on 21st 2nd half.,positive
"14/11: call connected to the customer, gave my call pitch about the MSD ERP, they gave me the email, i mailed the brochure with MSD ERP overview as of now. Will follow-up ON Monday. 17/11: call connected to Mr. Balamurugun K and he informed me that they have the requirement as they are not using any ERP. Already sent the email with brochure. Case forwarded to Sreekanth.",positive
"10/12: call connected to Mr. GN Puranik from the IT, and gave my call pitch about the MSD ERP and he informed me that they are using customised ERP on their own but are quite interested in knowing the MSD ERP so i sent the email to him. Will follow-up on Friday.",positive
8/12: Call connected to Reshma from the IT admin and gave the call pitch about the Infor LN ERP and she informed me that they have the requirement as they are using the inbuilt ERP. Will follow-up.,positive
12/15/2025 spoke to Raj Bhagat. He said we are using tally and we will plan for demo in march month.,positive
I spoke to Kedar (IT manager). He said we are using Tally ERP and looking for ERP. He asked me to call after 2 days and also asked to share the details over email. Company size is 200+ and revenue is around 70cr.,positive
"Spoke to Byresh (AGM Design, Research and Development). He said that we are using tally and we are looking for ERP. I pitched the product. He asked to share the details over the email. I asked him to provide me IT department no. Or email id then he told that I will forward this email to IT department. I will be in touch with you for further discussion. Company size is 200 and revenue is 100cr.",positive
We have a discussion with Dan Henkhaus (DOF) he told that he have some requirements for project regarding data view and fixed next set of discussion with our project team next week.,positive
"I spoke with Ajay, the IT Manager, and explained our comprehensive services and add-ons. I requested 10-15 minutes for a product demonstration, and he agreed to schedule it for Monday, March 30, at 11:30 AM.",positive
"I spoke with Abilash, the IT manager. Explained our add-on and comprehensive services. He was interested in our add-ons. I requested 15-20 minutes for a demo; he suggested the afternoon of March 20th 3:00 pm.",positive
"Today I had a follow? Up meeting with Sankar, the IT Manager. He was impressed with the vendor portal and asked me to send any vendor? Portal related PDF. For the next meeting, I will include our Business team member. After the end of the financial year, I need to follow-up again by next week.",positive
I spoke with Vishal IT manager he said they are using MSD 365 and explained our add-on and comprehensive services. He was interested in our add-ons and asked about our location. I requested 15-20 minutes for a demo; he suggested the afternoon of March 10th 3:00 pm.,positive
"Demo has been rescheduled to tomorrow, 11/03/2026, at 4:00 PM due to client unavailability.",positive
"Today we had a demo-2 meeting with Sankar, IT Manager from Aurolab, where we discussed Microsoft Business Central add-ons, particularly the Vendor Portal and Customer Portal. During the discussion, Sankar explained their current process where vendor bills are scanned and uploaded into the ERP system and then processed by the finance team. They also mentioned the need to enhance the Customer Portal to support export operations for customers in other countries. Some additional features are required in the Customer Portal to meet their business needs. A follow-up meeting has been scheduled for Monday and Tuesday to discuss the detailed requirements.",positive
"Next Round Demo Scheduled on March 6, 11.30 AM.",positive
"Today we had a product demo with Aurolab (IT Manager). Previously they were using MSD Navision and now they are using Business Central, they are getting services from Cetas company located in Chennai. They don't need services but they have requirement of Add-ons(Customer Order and Vendor Portal). Emp size is 2000. 2nd March 2026 I have to call him and confirm the timing for second round demo.",positive
"I spoke with the IT Manager, he said they are using MSD 365 and explained our add-on and comprehensive services. Although they are currently using another company services, he was interested in our add-ons and asked about our location. I requested 15-20 minutes for a demo; he suggested the afternoon of February 27th and will confirm the exact time after checking his calendar.",positive
3/23/2026 5:15 PM spoke with Abhilash IT manager last month we have demo then he told we make the requirement list with our all teams and finance also we plan on june and july. Follow-up on june 1st week.,positive
17/03/26-Connected with Nalin president of operation he said they are having some other ERP demo after that we can schedule demo he asked me to call in Thursday to confirm demo call Follow-up on Friday.,positive
04/03/27-Connected with Namdev Accounts & Finance manager he said currently implementing SAP B1 but they are in requirement for their middle east company they are interested for demo as some issues going with MEC he asked me to send email next Follow-up by April 1st week.,positive
23/02/26 3:46PM -Through operator connected with Subash IT manager delivered about AI automation he's interested he mentioned if possible visit our company so we can discuss in person next Follow-up call by tomorrow.,positive
Connected with Pankaj Shrivastava-Chief Information Officer they currently using MSD planning to change ERP there's a requirement after March they are interested.,positive
Connected with Director he said they are looking for ERP Follow-up by Sandeep.,positive
Connected with Finance manager Dhiren he's interested as their Headquarters in Korea they need discuss with HQ and he'll callback sandeep is taking Follow-up.,positive
Connected With manager They are looking for ERP call back tomorrow 10;30.,positive
"10/03 demo was scheduled today, client didn't respond.",positive
29/12/2025 Had a word with IT manager they are using salesforce from last 1.5 years he mentioned as the company is growing they are not able to manage so they are looking for bigger ERP 05/01/2026 had a word with shivam told me to send details in WhatsApp itself. Demo has been scheduled.,positive
"23/01: call connected to Mr. Rajeev Pathy and gave my call pitch about the LN ERP and he informed me that they are using the SAP B1 ERP and they are planning to move to S4 HANA. I pitched LN so he said that they will come for the demo in march as they have the requirement. Currently, 30 USERS, and revenue above 200 cr.",positive
"20/01: call connected to Mr. Vikas Rajpurkar and gave my call pitch about the MSD ERP and he informed me that they are looking for the customised ERP as earlier they were using the Tally, so i gave the details about the MSD Dynamics. Asked about the revenue(30. CR) and User License (20). SHARED THE details with the email provided by him.",positive
Spoke to Gopal Hakke( CEO) He said we are using zoho currently. He was asking price. I pitched the product and schedule a call on the day after tomorrow. He wants more details. He didn't confirm anything like budget and employee size. He is looking for 20 to 25 user.,positive
Spoke to Akshay Devadiga (Finance Manager). He said we are using SAP B1. He is facing challenges and looking for p2p automation. Company size is 200+ and turnover is 100cr. There are 10 to 15 user. He wants demo. His personal number is [Phone Number Removed].,positive
Spoke to Shyam Ganesh Parthasarathy (Chief Excellence Officer). He said we are using own developed software and we want complete cycle of supply chain management. I pitched the product and explain the modules and add on. He wants in person demo and he will be available for the demo next week from Monday to Thursday. Company size is 500+ and turnover around 100cr.,positive
Called on board line no. They gave me IT Manager no. [Phone Number Removed] Aniket (IT manager). Spoke to Aniket. He said we are using zoho. Company size is 2k including labours. Company revenue is 25- 30 cr. He said we are using zoho for everything like as a CRM and ERP. He was asking that what the feature we are providing. I pitched the product in detail. He is satisfied with the software. He is ready for the product demo.,positive
Jason said this week they're so busy need to connect next week for demo call.,positive
"We had an email discussion with Stphane following our earlier conversation. We shared the estimated pricing plan with him, and he mentioned that he would review it and get back to us next week. We will follow-up with him next week to confirm his feedback and discuss the next steps to move forward.",positive
Connected with Jason to schedule the final demo call he shared the availability for demo on 24th march will do the follow-up.,positive
"24/02 Stephane Demo has done shibin, Aloak, Silpa and sona were there in meeting and final discussion for Time sheet module has been discussed as stephane shared requirement for particular customization solution. He is going to share the Screen shot particular UI then will move further steps will do the follow-up for the same.",positive
Connected with Jason to schedule the demo call he said as I joined today at work from holidays so he is packed with all other works in this week and said for sure in next week will discuss further on it.,positive
"Harry write a email saying They don't have any requirement at this moment, They will reach out whenever they need our assistance.",positive
"Bill said Due to some changes in management, I have been in a holding pattern. I have been tentative go-ahead. I will be working with our procurement team to arrange the details with you. They are currently reviewing the earlier information that we received from you. Once that process is complete, we'll reach out to you for a meeting with them.",positive
Todd said they do not have any requirement at this moment and he will let us know if he finds anything where he might need our assistance.,positive
Had a discussion with Mark Mazour. He said they are currently working with Infor directly. And he remember working with Blue Chip in the past. He will contact us whenever he has any projects for us. I have shared the.,positive
"Bob does not have any requirement at this moment but he asked me to share the information once again, He will keep it for future need.",positive
"I had a discussion with Jim, He said send an email and he will review and let us know if he can come for discussion with us next week. He also asked about if we are Infor Channel Partner.",positive
"We have fixed the meeting with new CFO Matt Distel, They need someone who has experience with different configurations and knows CSI reporting in depth.",positive
"Had a discussion with Matt Distel, He wants us to check all the modules mapped properly or not. He is having some problem with job costing. They are currently on CSI 10 cloud.",positive
Erik said all going great. He will let us know if he finds any project. But at this moment he does not have any requirement.,positive
"We have received the first payment, but no project is done so far. There is always some access issue.",positive
"Julie replied in an email saying Hi Rajib, Hope all is well! Yes please send the invoice for the first project when you can, so we can get that paid and closed out? We had some unexpected changes to our engineering team, so we are reworking our roadmap and project timeline a bit for the year. I will get back to you as soon as I know what projects are in line next for potential work with your teams!",positive
Ratan fixed a meeting with this customer to introduce with Dale List. . Because this customer is not working with outside US vendor.,positive
They are not planning any project this year. He is giving good response. We should keep building relationship with him.,positive
Fixed meeting for Monday.,positive
Jessica asked to share the information once again. She will reach out whenever she finds any projects.,positive
"Had a discussion with Todd, He said to be in touch. No immediate requirement.",positive
"Had a discussion with Brain, He asked to set up the meeting for 31st march but he has not yet accepted the invitation.",positive
"Got a email reply from Marie-France Blouin Hello, thank you for your follow-up and for sharing the presentation on your SyteLine expertise. At this time, we will not be moving forward with a commitment. We are currently discussing another type of support internally as part of a different project. That said, we sincerely thank you for your interest, your approach, and the time you spent presenting your services to us. We will keep your contact information in mind for future opportunities. Thank you again, and we look forward to speaking with you again at another time.",positive
Christian asked to fix the meeting for 1st April 9 am EST for the India country pack.,positive
"The monthly update is done, and now they want an an estimate of how long it would take to uplift Live and Pilot2 to the latest version of Syteline? They would want all components: SL, Factory Track, and APS done.",positive
"Talked to Philip Rada, he said finance director is on leave, when he will come back he will have the discussion with him.",positive
We have to give estimate to Frank Vangha.,positive
"Talked to Kent, he told us that we have to reach out to him in February for the further updates.",positive
"We have a meeting, they asked for the presentation and they told us they will reach out to us in two weeks.",positive
We have to fix meeting with Tariq Jamal this week.,positive
"Talked to Edward Morris, they are outsourcing so told me to reach out to him after 9 months.",positive
"They are using csi 10 on premises, currently use custom BOL method, including a signature pad to get the driver's signature. We would like to understand how we move to out of the box capabilities. How would this work, would it break anything we do today also they have been experiencing issues weekly with inventory not matching the FIFO stack.",positive
"They said to give the reference for Engineering based company that we work it, also what projects we did with that type of company.",positive
"Philip Rada, told to reach out to him next week.",positive
